Date,Start Time,End Time,Comments
3/7/2024,1:05:00 PM,2:20:00 PM,"8min mile, upper body and core"
3/9/2024,11:45:00 AM,12:30:00 PM,"5:20mins 0.7mile, upper body and core"
3/11/2024,11:45:00 AM,12:40:00 PM,"7:23mins 0.9mile, upper body and core"
3/13/2024,11:40:00 AM,12:20:00 PM,"7.5.min mile, upper body and core"
3/21/2024,1:53:00 PM,2:27:00 PM,Upper body and core
